nombre,categoria_nombre,frecuencia_nombre,tiempo_estimado,cantidad_tecnicos,descripcion
Inspección visual de transformadores,Transformadores,Mensual,01:00:00,1,Inspección visual completa del transformador verificando fugas de aceite y ruidos anormales
Medición de temperatura en motores,Motores,Semanal,00:30:00,1,Medición de temperatura con termómetro infrarrojo en carcasa y rodamientos
Limpieza de aires acondicionados,Climatización,Mensual,02:00:00,2,Limpieza de filtros y serpentinas de unidades de aire acondicionado
Prueba de arranque de generadores,Generadores,Mensual,01:30:00,2,Prueba de arranque y verificación de parámetros eléctricos del generador de emergencia
Inspección de sistemas contra incendio,Seguridad,Trimestral,02:00:00,2,Inspección y prueba de sistemas de detección y extinción de incendios
Mantenimiento de subestación eléctrica,Subestaciones,Semestral,04:00:00,3,Mantenimiento preventivo completo de subestación incluyendo limpieza y ajustes
Revisión de tableros eléctricos,Tableros,Mensual,01:00:00,1,Revisión visual y termográfica de tableros eléctricos de distribución
Calibración de instrumentos de medición,Instrumentación,Anual,03:00:00,2,Calibración de instrumentos de medición eléctrica con equipos certificados
Mantenimiento de sistemas de bombeo,Bombas,Trimestral,02:30:00,2,Mantenimiento preventivo de bombas incluyendo rodamientos y sellos mecánicos
Inspección de luminarias,Iluminación,Mensual,01:00:00,1,Inspección y reemplazo de luminarias defectuosas en instalaciones
